words,char,value
A,1,1
a,1,1
aa,2,2
aal,3,14
aalii,5,32
aam,3,15
Aani,4,25
aardvark,8,76
aardwolf,8,80
Aaron,5,49
Aaronic,7,61
Aaronical,9,74
Aaronite,8,83
Aaronitic,9,90
Aaru,4,41
Ab,2,3
aba,3,4
Ababdeh,7,23
Ababua,6,28
abac,4,7
abaca,5,8
abacate,7,33
abacay,6,33
abacinate,9,56
abacination,11,89
abaciscus,9,78
abacist,7,55
aback,5,18
abactinal,9,63
abactinally,11,100
abaction,8,65
abactor,7,60
abaculus,8,80
abacus,6,47
Abadite,7,42
abaff,5,16
abaft,5,30
abaisance,9,55
abaiser,7,55
abaissed,8,60
abalienate,10,70
abalienation,12,103
abalone,7,50
Abama,5,18
abampere,8,61
abandon,7,51
abandonable,11,71
abandoned,9,60
abandonedly,11,97
abandonee,9,61
abandoner,9,74
abandonment,11,103
Abanic,6,30
Abantes,7,62
abaptiston,10,117
Abarambo,8,53
Abaris,6,50
abarthrosis,11,130
abarticular,11,106
abarticulation,14,146
abas,4,23
abase,5,28
abased,6,32
abasedly,8,69
abasedness,10,89
abasement,9,80
abaser,6,46
Abasgi,6,39
abash,5,31
abashed,7,40
abashedly,9,77
abashedness,11,97
abashless,9,86
abashlessly,11,123
abashment,9,83
abasia,6,33
abasic,6,35
abask,5,34
Abassin,7,65
abastardize,11,106
abatable,8,44
abate,5,29
abatement,9,81
abater,6,47
abatis,6,52
abatised,8,61
abaton,6,53
abator,6,57
abattoir,8,86
Abatua,6,46
abature,7,68
abave,5,31
abaxial,7,50
abaxile,7,54
abaze,5,35
abb,3,5
Abba,4,6
abbacomes,9,61
abbacy,6,34
Abbadide,8,28
abbas,5,25
abbasi,6,34
abbassi,7,53
Abbasside,9,62
abbatial,8,48
abbatical,9,51
abbess,6,48
abbey,5,35
abbeystede,10,88
Abbie,5,19
abbot,5,40
abbotcy,7,68
abbotnullius,12,148
abbotship,9,92
abbreviate,10,85
abbreviately,12,122
abbreviation,12,118
abbreviator,11,113
abbreviatory,12,138
abbreviature,12,124
Abby,4,30
abcoulomb,9,84
abdal,5,20
abdat,5,28
Abderian,8,54
Abderite,8,64
abdest,6,51
abdicable,9,39
abdicant,8,54
abdicate,8,45
abdication,10,78
abdicative,10,76
abdicator,9,73
Abdiel,6,33
abditive,8,72
abditory,8,94
abdomen,7,54
abdominal,9,71
Abdominales,11,95
abdominalian,12,95
abdominally,11,108
abdominoanterior,16,173
abdominocardiac,15,112
abdominocentesis,16,167
abdominocystic,14,152
abdominogenital,15,141
abdominohysterectomy,20,249
abdominohysterotomy,19,256
abdominoposterior,17,208
abdominoscope,13,131
abdominoscopy,13,151
abdominothoracic,16,150
abdominous,10,113
abdominovaginal,15,139
abdominovesical,15,144
abduce,6,36
abducens,8,69
abducent,8,70
abduct,6,51
abduction,9,89
abductor,8,84
Abe,3,8
abeam,5,22
abear,5,27
abearance,9,50
abecedarian,11,63
abecedarium,11,82
abecedary,9,64
abed,4,12
abeigh,6,32
Abel,4,20
abele,5,25
Abelia,6,30
Abelian,7,44
Abelicea,8,38
Abelite,7,54
abelite,7,54
Abelmoschus,11,118
abelmosk,8,78
Abelonian,9,73
abeltree,8,68
Abencerrages,12,98
abenteric,9,77
abepithymia,11,109
Aberdeen,8,54
aberdevine,10,85
Aberdonian,10,83
Aberia,6,36
